,name,rating,review,company_type,Head_Quarters,Company_Age,No_of_Employee
1530,Bristlecone,3.6,(238 Reviews),Private,"Pune,Maharashtra + 8 more",23 years old,1k-5k employees (India)
1531,Hitachi,4.0,(238 Reviews),Private,"Delhi/NCR,New Delhi + 51 more",91 years old,1k-5k employees (India)
1532,Symantec,4.3,(237 Reviews),Private,"Mountain View,California + 4 more",26 years old,1k-5k employees (India)
1533,Nomura Holdings,3.8,(237 Reviews),Public,"Mumbai,Maharashtra + 5 more",12 years old,1k-5k employees (India)
1534,Dassault Systemes,3.9,(237 Reviews),Private,Vélizy-Villacoublay + 6 more,40 years old,1k-5k employees (India)
1535,Action Constructio...,3.8,(237 Reviews),Public,"Delhi/NCR,New Delhi + 26 more",26 years old,1k-5k employees (Global)
1536,PrimEra Medical Te...,3.3,(237 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 1 more",6 years old,1k-5k employees (Global)
1537,Salcomp Manufactur...,4.1,(237 Reviews),Private,Salo + 5 more,15 years old,501-1k employees (India)
1538,Keventer Agro,4.0,(237 Reviews),Private,Kolkata + 37 more,35 years old,501-1k employees (India)
1539,Uppcl,4.0,(237 Reviews),"Lucknow,Uttar Pradesh + 56 more",22 years old,5k-10k employees (Global),
1540,Bajaj Capital Insu...,3.7,(237 Reviews),New Delhi + 74 more,17 years old,1k-5k employees (Global),
1541,S&P Global,4.1,(237 Reviews),Public,"Manhattan,New York + 5 more",104 years old,10k-50k employees (India)
1542,PPG Asian Paints,4.1,(236 Reviews),Private,"Mumbai,Maharashtra + 38 more",24 years old,1k-5k employees (Global)
1543,Central Bank of In...,3.9,(236 Reviews),Public,"Mumbai,Maharashtra + 57 more",110 years old,10k-50k employees (Global)
1544,Dishnet Wireless,4.3,(236 Reviews),Public,"Delhi/NCR,New Delhi + 46 more",23 years old,51-200 employees (Global)
1545,Sterlite Power Tra...,4.1,(236 Reviews),"Delhi/NCR,Delhi + 29 more",11 years old,501-1k employees (India),
1546,Ness Technologies,3.6,(236 Reviews),Private,"Teaneck,New Jersey + 5 more",23 years old,1k-5k employees (India)
1547,FoodPanda,4.2,(235 Reviews),Private,"Berlin,Berlin + 15 more",9 years old,1k-5k employees (Global)
1548,Hpl Electric & Pow...,3.5,(235 Reviews),"Noida,Uttar Pradesh + 39 more",29 years old,1k-5k employees (Global),
1549,SMC Global Securit...,3.6,(235 Reviews),Public,SMC Global Securities Ltd. + 39 more,27 years old,1k-5k employees (Global)
1550,MagicBricks,3.6,(235 Reviews),Private,"Noida,Uttar Pradesh + 18 more",15 years old,501-1k employees (Global)
1551,Essel Group,3.9,(235 Reviews),Private,Mumbai + 33 more,95 years old,10k-50k employees (India)
1552,Bharat Serums and ...,4.1,(234 Reviews),Private,"Mumbai,Maharashtra + 30 more",50 years old,1k-5k employees (Global)
1553,GlobalData,3.7,(234 Reviews),Private,London + 2 more,37 years old,1k-5k employees (India)
1554,Prodapt Solutions,3.4,(234 Reviews),Private,"Chennai,Tamil Nadu + 3 more",22 years old,1k-5k employees (India)
1555,Jayaswal Neco Indu...,4.2,(234 Reviews),Public,"Nagpur,Maharashtra + 16 more",49 years old,1k-5k employees (Global)
1556,Aditya Birla Finan...,3.9,(234 Reviews),Private,"Mumbai,Maharashtra + 41 more",9 years old,1k-5k employees (Global)
1557,Consolidated Const...,4.3,(234 Reviews),Public,"Chennai,Tamil Nadu + 24 more",24 years old,1k-5k employees (Global)
1558,Spar Hyper Market,3.9,(234 Reviews),"Bangalore/Bengaluru,Karnataka + 19 more",14 years old,1k-5k employees (India),
1559,Rane NSK Steering ...,4.0,(234 Reviews),Bawal + 13 more,,,
1560,J K Fenner,3.8,(234 Reviews),Private,"Chennai,Tamil Nadu + 25 more",34 years old,201-500 employees (India)
1561,Micron Electricals,3.9,(233 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 10 more",45 years old,1k-5k employees (Global)
1562,Medtronic,3.8,(233 Reviews),Private,"Mumbai,Maharashtra + 27 more",42 years old,1k-5k employees (India)
1563,Toyota,4.4,(233 Reviews),Private,"Toyota City,Aichi Prefecture + 52 more",84 years old,1 Lakh+ employees (Global)
1564,Telesonic Networks,3.9,(233 Reviews),Public,"Delhi/NCR,Delhi + 26 more",12 years old,5k-10k employees (Global)
1565,SPML Infra,3.6,(233 Reviews),Public,"Delhi/NCR,Delhi + 31 more",40 years old,1k-5k employees (Global)
1566,Aquasub Engineerin...,4.0,(233 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 6 more",38 years old,201-500 employees (Global)
1567,N.C.L. Industries,3.7,(233 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 46 more",41 years old,501-1k employees (India)
1568,Coats,4.0,(233 Reviews),Private,Middlesex + 34 more,47 years old,501-1k employees (India)
